Time,FT1,FT2,FT3,FT4,FT5,FT6
11:06:34:147685,2.342,3.359,0.047,0.051,0.024,0.039
11:06:34:152797,2.405,3.364,0.125,0.054,0.019,0.042
11:06:34:157974,2.442,3.391,0.076,0.056,0.015,0.045
11:06:34:163114,2.49,3.471,-0.032,0.06,0.01,0.05
11:06:34:168283,2.526,3.53,-0.033,0.063,0.005,0.053
11:06:34:173440,2.6,3.608,0.079,0.067,-0.002,0.056
11:06:34:178563,2.675,3.684,0.189,0.069,-0.007,0.057
11:06:34:183735,2.713,3.743,0.205,0.072,-0.015,0.06
11:06:34:188851,2.767,3.836,0.158,0.076,-0.021,0.063
11:06:34:193921,2.816,3.89,0.129,0.078,-0.024,0.065
11:06:34:199032,2.911,3.949,0.145,0.083,-0.026,0.066
11:06:34:204178,2.981,3.975,0.167,0.086,-0.029,0.066
11:06:34:209300,3.086,4.008,0.117,0.091,-0.033,0.067
11:06:34:214423,3.154,4.028,0.033,0.094,-0.036,0.068
11:06:34:219574,3.239,4.058,-0.017,0.098,-0.04,0.068
11:06:34:224858,3.281,4.08,0.061,0.1,-0.043,0.068
11:06:34:230036,3.329,4.117,0.238,0.102,-0.046,0.066
11:06:34:235126,3.358,4.135,0.276,0.102,-0.048,0.066
11:06:34:240502,3.405,4.138,0.162,0.103,-0.052,0.066
11:06:34:245678,3.465,4.131,0.002,0.104,-0.055,0.067
11:06:34:250839,3.51,4.137,-0.057,0.104,-0.057,0.068
11:06:34:256322,3.564,4.174,-0.1,0.104,-0.059,0.068
11:06:34:261493,3.583,4.235,-0.146,0.103,-0.059,0.067
11:06:34:266624,3.587,4.28,-0.181,0.102,-0.058,0.066
11:06:34:271790,3.599,4.333,-0.226,0.101,-0.057,0.066
11:06:34:276965,3.624,4.345,-0.24,0.1,-0.055,0.067
11:06:34:282135,3.658,4.33,-0.226,0.1,-0.054,0.067
11:06:34:287386,3.753,4.303,-0.231,0.099,-0.051,0.066
11:06:34:292550,3.838,4.304,-0.322,0.1,-0.049,0.066
11:06:34:297694,3.935,4.327,-0.594,0.1,-0.046,0.067
11:06:34:302767,3.948,4.325,-0.795,0.1,-0.045,0.069
11:06:34:307942,3.929,4.303,-0.778,0.099,-0.045,0.069
11:06:34:313082,3.91,4.278,-0.607,0.098,-0.046,0.069
11:06:34:318232,3.909,4.281,-0.503,0.098,-0.047,0.067
11:06:34:323394,3.897,4.291,-0.453,0.1,-0.047,0.066
